date,state,candidate,vote_perc,is_nominee,won_state,event_type
2008-05-06,Indiana,Mike Gravel,0,FALSE,FALSE,primary
2008-05-06,North Carolina,Mike Gravel,0,FALSE,FALSE,primary
2008-05-13,West Virginia,Mike Gravel,0,FALSE,FALSE,primary
NA,Colorado congressional district conventions,Mike Gravel,0,FALSE,FALSE,primary
2008-05-17,Colorado state convention,Mike Gravel,0,FALSE,FALSE,primary
2008-05-17,Kansas state convention,Mike Gravel,0,FALSE,TRUE,primary
2008-05-17,Nevada state convention,Mike Gravel,0,FALSE,FALSE,primary
2008-05-17,Washington congressional district,Mike Gravel,0,FALSE,FALSE,caucus
2008-05-20,Kentucky,Mike Gravel,0,FALSE,FALSE,primary
2008-05-20,Oregon,Mike Gravel,0,FALSE,FALSE,primary
2008-05-24,Alaska state convention,Mike Gravel,0,FALSE,FALSE,primary
2008-05-24,Wyoming state convention,Mike Gravel,0,FALSE,FALSE,primary
2008-05-31,"Maine state convention",Mike Gravel,0,FALSE,FALSE,caucus
2008-06-01,Puerto Rico,Mike Gravel,0,FALSE,FALSE,primary
2008-06-03,Montana,Mike Gravel,0,FALSE,FALSE,primary
2008-06-03,South Dakota,Mike Gravel,0,FALSE,FALSE,primary
NA,Texas state convention,Mike Gravel,0,FALSE,FALSE,primary
NA,Nebraska county conventions,Mike Gravel,0,FALSE,TRUE,primary
NA,Idaho state convention,Mike Gravel,0,FALSE,TRUE,caucus
2008-06-14,Iowa state convention,Mike Gravel,0,FALSE,TRUE,primary
NA,Washington state convention,Mike Gravel,0,FALSE,TRUE,caucus
2008-06-21,Puerto Rico commonwealth convention,Mike Gravel,0,FALSE,TRUE,primary
NA,Nebraska state convention,Mike Gravel,0,FALSE,TRUE,caucus
2008-01-03,Iowa,John Edwards,0,FALSE,FALSE,caucus
2008-01-08,New Hampshire,John Edwards,0,FALSE,FALSE,primary
2008-01-15,Michigan,John Edwards,0,FALSE,FALSE,primary
2008-01-19,Nevada,John Edwards,0,FALSE,FALSE,caucus
2008-01-26,South Carolina,John Edwards,0,FALSE,FALSE,primary
2008-01-29,Florida,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Alabama,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Alaska,John Edwards,0,FALSE,FALSE,caucus
2008-02-05,American Samoa,John Edwards,0,FALSE,FALSE,caucus
2008-02-05,Arizona,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Arkansas,John Edwards,0,FALSE,FALSE,primary
2008-02-05,California,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Colorado,John Edwards,2,FALSE,FALSE,caucus
2008-02-05,Connecticut,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Delaware,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Georgia,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Idaho county,John Edwards,0,FALSE,FALSE,caucus
2008-02-05,Illinois,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Kansas local unit conventions,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Massachusetts,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Minnesota,John Edwards,0,FALSE,FALSE,caucus
2008-02-05,Missouri,John Edwards,1,FALSE,FALSE,primary
2008-02-05,New Jersey,John Edwards,0,FALSE,FALSE,primary
2008-02-05,New Mexico,John Edwards,0,FALSE,FALSE,caucus
2008-02-05,New York,John Edwards,0,FALSE,FALSE,primary
2008-02-05,North Dakota,John Edwards,0,FALSE,FALSE,caucus
2008-02-05,Oklahoma,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Tennessee,John Edwards,0,FALSE,FALSE,primary
2008-02-05,Utah,John Edwards,0,FALSE,FALSE,primary
2008-02-09,Louisiana,John Edwards,0,FALSE,FALSE,primary
2008-02-09,Nebraska,John Edwards,0,FALSE,FALSE,caucus
2008-02-09,U.S. Virgin Islands territorial convention,John Edwards,0,FALSE,FALSE,primary
2008-02-09,Washington,John Edwards,0,FALSE,FALSE,caucus
2008-02-10,Maine municipal,John Edwards,0,FALSE,FALSE,caucus
NA,Democrats Abroad,John Edwards,0,FALSE,FALSE,primary
2008-02-12,District of Columbia,John Edwards,0,FALSE,FALSE,primary
2008-02-12,Maryland,John Edwards,0,FALSE,FALSE,primary
2008-02-12,Virginia,John Edwards,1,FALSE,FALSE,primary
2008-02-19,Hawaii,John Edwards,0,FALSE,FALSE,caucus
2008-02-19,Wisconsin,John Edwards,0,FALSE,FALSE,primary
2008-03-04,Ohio,John Edwards,1,FALSE,FALSE,primary
2008-03-04,Rhode Island,John Edwards,0,FALSE,FALSE,primary
2008-03-04,Texas,John Edwards,0,FALSE,FALSE,primary
2008-03-04,Texas conventions,John Edwards,0,FALSE,FALSE,primary
2008-03-04,Vermont,John Edwards,0,FALSE,FALSE,primary
2008-03-08,Wyoming county,John Edwards,0,FALSE,FALSE,caucus
2008-03-11,Mississippi,John Edwards,39,FALSE,FALSE,primary
NA,North Dakota legislative district conventions,John Edwards,0,FALSE,TRUE,primary
2008-03-15,Iowa county conventions,John Edwards,51,FALSE,TRUE,primary
NA,Colorado county assemblies/conventions,John Edwards,0,FALSE,FALSE,primary
2008-03-29,Texas county and senatorial district conventions,John Edwards,0,FALSE,FALSE,primary
NA,North Dakota state convention,John Edwards,0,FALSE,FALSE,primary
NA,Nevada county conventions,John Edwards,0,FALSE,FALSE,primary
2008-04-22,Pennsylvania,John Edwards,0,FALSE,FALSE,primary
NA,Washington legislative district,John Edwards,0,FALSE,TRUE,caucus
2008-04-26,Iowa district conventions,John Edwards,70,FALSE,TRUE,primary
2008-05-03,Guam territorial convention,John Edwards,0,FALSE,FALSE,primary
2008-05-06,Indiana,John Edwards,0,FALSE,FALSE,primary
2008-05-06,North Carolina,John Edwards,0,FALSE,FALSE,primary
2008-05-13,West Virginia,John Edwards,42,FALSE,FALSE,primary
NA,Colorado congressional district conventions,John Edwards,0,FALSE,FALSE,primary
2008-05-17,Colorado state convention,John Edwards,0,FALSE,FALSE,primary
2008-05-17,Kansas state convention,John Edwards,0,FALSE,TRUE,primary
2008-05-17,Nevada state convention,John Edwards,0,FALSE,FALSE,primary
2008-05-17,Washington congressional district,John Edwards,0,FALSE,FALSE,caucus
2008-05-20,Kentucky,John Edwards,32,FALSE,FALSE,primary
2008-05-20,Oregon,John Edwards,0,FALSE,FALSE,primary
2008-05-24,Alaska state convention,John Edwards,0,FALSE,FALSE,primary
2008-05-24,Wyoming state convention,John Edwards,0,FALSE,FALSE,primary
2008-05-31,"Maine state convention",John Edwards,0,FALSE,FALSE,caucus
2008-06-01,Puerto Rico,John Edwards,0,FALSE,FALSE,primary
2008-06-03,Montana,John Edwards,0,FALSE,FALSE,primary
2008-06-03,South Dakota,John Edwards,0,FALSE,FALSE,primary
NA,Texas state convention,John Edwards,0,FALSE,FALSE,primary
NA,Nebraska county conventions,John Edwards,0,FALSE,TRUE,primary
NA,Idaho state convention,John Edwards,0,FALSE,TRUE,caucus
2008-06-14,Iowa state convention,John Edwards,0,FALSE,TRUE,primary
NA,Washington state convention,John Edwards,0,FALSE,TRUE,caucus
2008-06-21,Puerto Rico commonwealth convention,John Edwards,0,FALSE,TRUE,primary
NA,Nebraska state convention,John Edwards,0,FALSE,TRUE,caucus
2008-01-03,Iowa,Dennis Kucinich,24,FALSE,FALSE,caucus
2008-01-08,New Hampshire,Dennis Kucinich,36,FALSE,FALSE,primary
2008-01-15,Michigan,Dennis Kucinich,35,FALSE,FALSE,primary
2008-01-19,Nevada,Dennis Kucinich,24,FALSE,FALSE,caucus
2008-01-26,South Carolina,Dennis Kucinich,41,FALSE,FALSE,primary
2008-01-29,Florida,Dennis Kucinich,53,FALSE,FALSE,primary
2008-02-05,Alabama,Dennis Kucinich,0,FALSE,FALSE,primary
2008-02-05,Alaska,Dennis Kucinich,0,FALSE,FALSE,caucus
2008-02-05,American Samoa,Dennis Kucinich,0,FALSE,FALSE,caucus
2008-02-05,Arizona,Dennis Kucinich,39,FALSE,FALSE,primary
2008-02-05,Arkansas,Dennis Kucinich,38,FALSE,FALSE,primary
2008-02-05,California,Dennis Kucinich,37,FALSE,FALSE,primary
2008-02-05,Colorado,Dennis Kucinich,55,FALSE,FALSE,caucus
2008-02-05,Connecticut,Dennis Kucinich,50,FALSE,FALSE,primary
2008-02-05,Delaware,Dennis Kucinich,51,FALSE,FALSE,primary
2008-02-05,Georgia,Dennis Kucinich,42,FALSE,FALSE,primary
2008-02-05,Idaho county,Dennis Kucinich,0,FALSE,FALSE,caucus
2008-02-05,Illinois,Dennis Kucinich,66,FALSE,TRUE,primary
2008-02-05,Kansas local unit conventions,Dennis Kucinich,41,FALSE,FALSE,primary
2008-02-05,Massachusetts,Dennis Kucinich,68,FALSE,TRUE,primary
