state,candidate,date,vote_perc,delegates,won_state,is_nominee,event_type
Idaho,Larry Agran,1992-05-26,1.58,18,FALSE,FALSE,primary
Kentucky,Larry Agran,1992-05-26,NA,52,NA,FALSE,primary
Arkansas,Larry Agran,1992-05-27,NA,36,NA,FALSE,primary
Alabama,Larry Agran,1992-06-02,NA,55,NA,FALSE,primary
California,Larry Agran,1992-06-02,0.87,348,FALSE,FALSE,primary
Montana,Larry Agran,1992-06-02,NA,16,NA,FALSE,primary
New Jersey,Larry Agran,1992-06-02,NA,105,NA,FALSE,primary
New Mexico,Larry Agran,1992-06-02,1.42,25,FALSE,FALSE,primary
Ohio,Larry Agran,1992-06-02,NA,151,NA,FALSE,primary
North Dakota,Larry Agran,1992-06-09,NA,14,NA,FALSE,primary
Iowa,Uncommitted,1992-02-10,11.92,49,FALSE,FALSE,caucus
New Hampshire,Uncommitted,1992-02-18,NA,18,NA,FALSE,primary
Maine,Uncommitted,1992-02-23,16.65,23,FALSE,FALSE,caucus
South Dakota,Uncommitted,1992-02-25,NA,15,NA,FALSE,primary
Colorado,Uncommitted,1992-03-03,2.24,47,FALSE,FALSE,primary
Georgia,Uncommitted,1992-03-03,3.8,76,FALSE,FALSE,primary
Idaho,Uncommitted,1992-03-03,17.47,18,FALSE,FALSE,caucus
Maryland,Uncommitted,1992-03-03,NA,67,NA,FALSE,primary
Minnesota,Uncommitted,1992-03-03,NA,78,NA,FALSE,caucus
Utah,Uncommitted,1992-03-03,2.3,23,FALSE,FALSE,caucus
Washington,Uncommitted,1992-03-03,20.4,71,FALSE,FALSE,caucus
Arizona,Uncommitted,1992-03-07,1.3,41,FALSE,FALSE,caucus
South Carolina,Uncommitted,1992-03-07,3.13,43,FALSE,FALSE,primary
Wyoming,Uncommitted,1992-03-07,22.34,13,FALSE,FALSE,caucus
Nevada,Uncommitted,1992-03-08,17.6,17,FALSE,FALSE,caucus
Florida,Uncommitted,1992-03-10,NA,148,NA,FALSE,primary
Hawaii,Uncommitted,1992-03-10,7.5,14,FALSE,FALSE,caucus
Louisiana,Uncommitted,1992-03-10,NA,60,NA,FALSE,primary
Massachusetts,Uncommitted,1992-03-10,1.54,94,FALSE,FALSE,primary
Mississippi,Uncommitted,1992-03-10,6.16,39,FALSE,FALSE,primary
Missouri,Uncommitted,1992-03-10,39,77,FALSE,FALSE,primary
Oklahoma,Uncommitted,1992-03-10,NA,45,NA,FALSE,primary
Texas,Uncommitted,1992-03-10,NA,0,NA,FALSE,primary
